,n_cells,gft_score,svg_rank,cutoff_gft_score,pvalue,qvalue
ENSG00000170421,1575,5.113761719044125,52,True,4.955599356121351e-51,1.2407310820880569e-48
ENSG00000026025,1550,5.100175414132583,53,True,7.642536592699015e-74,6.48709031848809e-71
ENSG00000176788,3223,5.082312040512846,54,True,4.3641242212440467e-10,1.0244686579496965e-08
ENSG00000125148,2564,5.069796898821973,55,True,1.4741487797864826e-22,7.120387131279343e-21
ENSG00000143013,2870,5.066175039329776,56,True,9.339402726231712e-33,8.055116733274108e-31
ENSG00000163191,1557,5.0634421157397504,57,True,3.497204516520783e-28,2.3382803025352655e-26
ENSG00000135744,1038,5.042462138610589,58,True,6.46944745251813e-48,1.3322224857165e-45
ENSG00000162545,3772,5.014330130733066,59,True,3.9333748713635875e-44,6.628901371879917e-42
ENSG00000111057,1279,4.992008070219228,60,True,1.2981535744040344e-42,1.9945923159412994e-40
ENSG00000163536,2800,4.981350150530915,61,True,1.8475624629218286e-29,1.3325947159566393e-27
ENSG00000170027,3295,4.941241273158627,62,True,1.8023240617654335e-33,1.66374899067994e-31
ENSG00000139970,3557,4.927743096783831,63,True,1.6295070685906284e-51,4.216287713450667e-49
ENSG00000128656,3520,4.923601416313051,64,True,1.5435953696694853e-32,1.3102250093001707e-30
ENSG00000148826,262,4.914531094961685,65,True,0.9999626778283776,1.0
ENSG00000115756,1867,4.909088454763788,66,True,1.9712967169129366e-18,7.551328116863732e-17
ENSG00000160182,1264,4.903810747378575,67,True,2.8077403393532197e-06,5.176858038791016e-05
ENSG00000171617,3289,4.8964968220552905,68,True,1.7334922224626665e-52,4.826231600586052e-50
ENSG00000205542,3999,4.8868040495396885,69,True,1.958836448807445e-35,2.028874452599178e-33
ENSG00000172005,531,4.878889178975537,70,True,3.244041160644531e-12,8.575545725407777e-11
ENSG00000143933,3963,4.859547177289409,71,True,8.682026351870841e-27,5.390657720787685e-25
ENSG00000101210,3123,4.850515017737106,72,True,2.507168256648253e-23,1.2719078253460358e-21
ENSG00000096384,3784,4.8422801146632635,73,True,9.721781905725897e-27,6.009436544582406e-25
ENSG00000251562,3535,4.835708008661633,74,True,2.736758341001145e-65,1.5238868011467695e-62
ENSG00000173267,2176,4.807166499563837,75,True,1.2441709217883997e-16,4.263795763258715e-15
ENSG00000113140,1491,4.799759898077488,76,True,5.1926808010038e-60,2.1772575690714252e-57
ENSG00000152661,1458,4.771960977530899,77,True,1.1298588979510574e-20,4.878490266351362e-19
ENSG00000117632,3670,4.767097333583529,78,True,2.110111326481698e-15,6.755727119825047e-14
ENSG00000160014,3719,4.738839823266737,79,True,2.2091298694598468e-09,4.993876857223816e-08
ENSG00000163032,3728,4.723629189782231,80,True,1.3039172321911053e-53,3.9119050959155605e-51
ENSG00000166963,2669,4.693650203859504,81,True,6.592967762236111e-25,3.6740476449994697e-23
ENSG00000164434,822,4.689346812759838,82,True,3.912099545127934e-46,7.30007522478632e-44
ENSG00000133083,1919,4.683055407896333,83,True,3.4516839148560674e-08,7.245073020982084e-07
ENSG00000167755,225,4.679543544867237,84,True,2.1343899459731958e-07,4.226439993365421e-06
ENSG00000105711,1588,4.6657076181028385,85,True,2.2832990326281945e-08,4.846716822966801e-07
ENSG00000123689,291,4.664223554617366,86,True,8.641774689034722e-94,1.8796597028295831e-90
ENSG00000156508,4109,4.660275699147615,87,True,0.2740975378906086,1.0
ENSG00000172508,320,4.652542500430446,88,True,1.5177827216277935e-20,6.513059186609135e-19
ENSG00000100285,804,4.633916848150479,89,True,2.9709622792961703e-16,9.999375409887599e-15
ENSG00000153002,368,4.629892281901624,90,True,7.149141334809306e-89,1.2136579256381698e-85
ENSG00000197430,358,4.621128718760634,91,True,0.0037279447693696973,0.05537241375722212
ENSG00000105409,2948,4.578595231962102,92,True,1.7486990945320397e-24,9.479301387520927e-23
ENSG00000132872,1770,4.562135146266009,93,True,1.8175504223270844e-05,0.00031721782886318605
ENSG00000100604,1984,4.540959338240529,94,True,1.6173172229991367e-07,3.233832030110012e-06
ENSG00000117152,2525,4.537413803973637,95,True,6.795400211293846e-29,4.763125899563838e-27
ENSG00000145335,2388,4.529760945671697,96,True,1.5119087024054057e-05,0.00026560568459511717
ENSG00000111341,1961,4.528284799479113,97,True,9.48766776451533e-118,5.50306309757514e-114
ENSG00000074317,3095,4.515383851122231,98,True,4.632271985709338e-41,6.461298063361157e-39
ENSG00000167676,198,4.5149693276352005,99,True,7.544670905859877e-83,9.377315842873888e-80
ENSG00000129538,1166,4.476325066618098,100,True,3.7961237613346514e-21,1.692636609816715e-19
ENSG00000196616,204,4.470699222357904,101,True,5.790526760322449e-89,1.0075911674341697e-85
ENSG00000120885,4142,4.459109384777655,102,True,6.332042298076075e-24,3.3187306204392254e-22
ENSG00000127824,1989,4.456908819264104,103,True,6.320224314597779e-31,4.920636045734466e-29
ENSG00000185499,1934,4.447405929803482,104,True,2.7378861269350925e-10,6.5061231520139044e-09
ENSG00000105649,2475,4.44194616108494,105,True,2.4567587543488884e-11,6.184344111810488e-10
ENSG00000124920,311,4.439432277381873,106,True,0.05703325990857749,0.7629580154070431
ENSG00000102934,477,4.435929318448059,107,True,7.764183564348231e-19,3.0241094983865286e-17
ENSG00000136960,552,4.431300259341323,108,True,6.8099614086980245e-09,1.4924178240202387e-07
ENSG00000110955,3160,4.4312944576792175,109,True,2.4124066492005424e-12,6.435802495982998e-11
ENSG00000111674,2981,4.430806159582303,110,True,5.042217758405168e-12,1.320858554883634e-10
ENSG00000022355,2067,4.424438905105826,111,True,0.00012835347089850123,0.0021175045977428787
ENSG00000046653,2787,4.415078895229934,112,True,1.8493502757093025e-11,4.697803895599114e-10
ENSG00000112306,3981,4.412903694905865,113,True,1.0176251961843865e-29,7.416700641256497e-28
ENSG00000126860,311,4.410253112562779,114,True,2.122771245272718e-14,6.398903095988652e-13
ENSG00000204655,324,4.40918290147485,115,True,1.1982223072569009e-05,0.00021183526281406726
ENSG00000135821,3369,4.408644575073273,116,True,1.5435953696694853e-32,1.3102250093001707e-30
ENSG00000167996,4203,4.384020510762475,117,True,2.626402563211621e-51,6.69614603692708e-49
ENSG00000109971,3650,4.378924462536615,118,True,2.1624983418030992e-18,8.261020133622351e-17
ENSG00000073969,2249,4.3754631171867695,119,True,0.9920761087213992,1.0
ENSG00000102109,3893,4.36857278325908,120,True,4.3641242212440467e-10,1.0244686579496965e-08
ENSG00000106976,3232,4.364748153694172,121,True,2.4048149251995257e-30,1.8075775638136883e-28
ENSG00000137818,4121,4.33806987294073,122,True,2.046824430101217e-33,1.8720705238362551e-31
ENSG00000150656,437,4.3076518003713,123,True,4.1732659793223814e-06,7.601955051628483e-05
ENSG00000125462,3106,4.293307231432455,124,True,5.050273335318477e-22,2.3686846911883382e-20
ENSG00000103034,2687,4.287059402801423,125,True,6.850850795420066e-05,0.0011534540731173238
ENSG00000110436,3455,4.273197631169252,126,True,2.876292083476679e-84,3.7773165935474627e-81
ENSG00000100427,737,4.271755673802894,127,True,1.1065021209688237e-72,9.168519960294579e-70
ENSG00000099194,2119,4.263104156329731,128,True,7.611022067328732e-21,3.327562243314327e-19
ENSG00000154096,3469,4.2525535338248694,129,True,1.1178984168052056e-41,1.6176461738321442e-39
ENSG00000189043,4032,4.240313321560483,130,True,1.9478107882584147e-24,1.0509530786621035e-22
ENSG00000151552,1878,4.236733752933883,131,True,0.0887621452894703,1.0
ENSG00000109099,648,4.230143236137247,132,True,0.9905929818903575,1.0
ENSG00000163399,2714,4.211292027840696,133,True,2.0789729281170634e-12,5.58695714559053e-11
ENSG00000184144,536,4.179742328848251,134,True,0.27761796909858655,1.0
ENSG00000168993,2077,4.174355943139281,135,True,0.36801915432351345,1.0
ENSG00000130558,3768,4.168152268094723,136,True,7.281989246188153e-42,1.0670448983872059e-39
ENSG00000103260,2401,4.167562881821915,137,True,2.7378861269350925e-10,6.5061231520139044e-09
ENSG00000161203,3181,4.155454728231591,138,True,3.442757136542434e-14,1.0262325192321617e-12
ENSG00000148671,1421,4.147898098191427,139,True,6.171035368407863e-50,1.4365247646919923e-47
ENSG00000106541,688,4.143292324372054,140,True,0.08708097341143323,1.0
ENSG00000014641,3110,4.1428423533210275,141,True,3.9281156783624707e-28,2.618846479612173e-26
ENSG00000086300,1336,4.134102016435717,142,True,3.8199445930769765e-25,2.165134932389051e-23
ENSG00000156482,3873,4.123358484683513,143,True,2.068127867493677e-19,8.325468146401915e-18
ENSG00000134339,212,4.116343246167854,144,True,1.7537770397111716e-80,2.0011093222917544e-77
ENSG00000008056,2446,4.114784210798324,145,True,0.00027482142296060894,0.004426827383881975
ENSG00000171345,2286,4.1130107868399,146,True,6.693179864637365e-40,8.643109215266508e-38
ENSG00000111669,3539,4.104922940274091,147,True,0.9366820915053381,1.0
ENSG00000250722,726,4.102370992801299,148,True,0.9828885739767645,1.0
ENSG00000173915,3209,4.098606207555792,149,True,1.1232732640346141e-17,4.0976354820968257e-16
ENSG00000159763,382,4.07458925574933,150,True,1.9560162941782842e-10,4.6768832962984084e-09
ENSG00000157782,2307,4.073186353939224,151,True,1.5532871988898146e-19,6.3260988021579046e-18
ENSG00000142634,836,4.068076468504193,152,True,0.11694472309569653,1.0
ENSG00000141367,2435,4.065275319764759,153,True,0.00012835347089850123,0.0021175045977428787
ENSG00000126803,411,4.062594585608808,154,True,3.2954908303275283e-52,8.959967046281217e-50
ENSG00000188191,2759,4.061202137025153,155,True,3.257995386593719e-11,8.136540048877362e-10
ENSG00000117318,369,4.060396080876697,156,True,2.5078270130936577e-09,5.6525778783698965e-08
ENSG00000087086,4094,4.051893411379437,157,True,1.639055933257533e-31,1.3173529622975388e-29
ENSG00000237949,618,4.047952958002677,158,True,3.4368944168285874e-09,7.66967720253703e-08
ENSG00000164692,850,4.046928169555939,159,True,0.04907211183935606,0.6603930625820131
ENSG00000189056,280,4.045939977022629,160,True,5.478174092915622e-49,1.2104630755493015e-46
ENSG00000104490,1723,4.03934222101339,161,True,1.6644138937410578e-14,5.045633701904373e-13
ENSG00000010278,731,4.0301433480696,162,True,1.0655170358796673e-36,1.1606086679351141e-34
ENSG00000120053,1871,4.025142386880539,163,True,2.4157258811671143e-06,4.470649155130604e-05
ENSG00000128422,480,4.023011836828164,164,True,2.437757815599074e-59,9.922491081526016e-57
ENSG00000197043,1884,4.0195314625962215,165,True,0.9737097000038236,1.0
ENSG00000054690,193,4.0165908414861855,166,True,0.2026406576376535,1.0
ENSG00000183036,1067,4.015035740117768,167,True,9.423756207254006e-79,9.506074679503272e-76
ENSG00000166313,2722,4.0146189544922075,168,True,0.0013866881931495483,0.02118465386743392
ENSG00000089199,1737,4.013724257403316,169,True,2.498468800739675e-16,8.441759600109582e-15
ENSG00000162374,1140,4.013180009512306,170,True,1.957657323365245e-14,5.919126536299962e-13
ENSG00000125814,2335,4.0069594134900495,171,True,2.3015599390422405e-14,6.919864084326542e-13
ENSG00000104833,2444,4.006765031001443,172,True,1.4559220133625548e-29,1.0555848528244792e-27
ENSG00000128739,3325,4.001911568597132,173,True,6.19121568621731e-22,2.8824448818854575e-20
ENSG00000144834,2668,4.00125280739408,174,True,3.8541812141297743e-50,9.155683684875455e-48
ENSG00000147416,1814,4.000945012826873,175,True,0.0009097520306640966,0.014068256915941758
ENSG00000100362,779,3.996743036927824,176,True,1.1183643620725766e-45,2.0377280634468424e-43
ENSG00000164176,834,3.99270857349781,177,True,2.784977064942908e-23,1.4046522096821862e-21
ENSG00000139190,616,3.9921166095882654,178,True,0.008155800406953219,0.11787084062954488
ENSG00000139737,423,3.962076688643172,179,True,8.3932201929652e-12,2.172521508305454e-10
ENSG00000174607,216,3.951940854132567,180,True,0.9986604132247989,1.0
ENSG00000124785,1617,3.951714611055652,181,True,1.0000387731206808e-31,8.112520755130046e-30
ENSG00000135472,2544,3.9507604293461522,182,True,1.4305954105858164e-12,3.875957383899236e-11
ENSG00000256618,3885,3.949268626101612,183,True,4.702149244966361e-23,2.3310713769692716e-21
ENSG00000266402,1221,3.947564950545845,184,True,6.798486071219133e-54,2.0937751597341773e-51
ENSG00000229117,4190,3.939475796962499,185,True,2.9357384173609004e-53,8.658279938433916e-51
ENSG00000136099,824,3.9335540750695746,186,True,0.8389725044621825,1.0
ENSG00000123119,1718,3.9327985387520576,187,True,8.631023400819677e-11,2.1093496695980352e-09
ENSG00000135919,1320,3.925287218384747,188,True,4.1138055506763946e-08,8.585669996995827e-07
ENSG00000213190,2208,3.921863059029488,189,True,1.2009419566802988e-32,1.0294191871019702e-30
ENSG00000166913,2960,3.918793288563837,190,True,6.783577374658567e-06,0.00012178372456230312
ENSG00000142192,3153,3.9174983256374776,191,True,6.5116146588675775e-18,2.4223738793359325e-16
ENSG00000175130,2091,3.906600876971934,192,True,0.00034678094591583745,0.005533448034655811
ENSG00000220205,3067,3.8992374106627583,193,True,5.682835048285535e-10,1.327763779409257e-08
ENSG00000116675,1721,3.8981875777239305,194,True,2.297127775441626e-06,4.261363615900025e-05
ENSG00000167191,1375,3.8925515477941093,195,True,0.62000759397896,1.0
ENSG00000177954,3748,3.8840950926102273,196,True,6.5116146588675775e-18,2.4223738793359325e-16
ENSG00000159164,1927,3.879592655033625,197,True,9.912175888560738e-28,6.471993393806423e-26
ENSG00000169562,122,3.879068904915206,198,True,5.592026999180669e-22,2.6139714024183997e-20
ENSG00000184524,2034,3.8775147599735256,199,True,1.5177827216277935e-20,6.513059186609135e-19
ENSG00000175426,493,3.87135919358567,200,True,3.0105137748410025e-20,1.2761265256810207e-18
ENSG00000147403,3897,3.8642804114468445,201,True,0.0002857578183430814,0.004595546232388596
ENSG00000121769,1670,3.8600478884245555,202,True,0.017111426023235437,0.24026668439120427
ENSG00000196230,2537,3.8565665200906194,203,True,2.1286050012145004e-37,2.4327868279535213e-35
ENSG00000187094,3943,3.854253694707953,204,True,2.489396425299236e-89,4.4427893761484106e-86
ENSG00000103089,163,3.8534807563140276,205,True,0.0060843694530511245,0.08885621493731599
ENSG00000184515,1836,3.851222507202379,206,True,0.0001134220064769962,0.0018791909594713494
ENSG00000118816,2586,3.848551194806074,207,True,3.442757136542434e-14,1.0262325192321617e-12
ENSG00000165943,2124,3.8455231783155295,208,True,5.914108662329987e-16,1.9583163875042137e-14
ENSG00000260032,3321,3.8414872767867183,209,True,0.0009769701819456707,0.01508759511219282
ENSG00000008394,636,3.8275136424877765,210,True,2.9947819835934524e-26,1.8015989620415695e-24
ENSG00000067057,1526,3.8203261427190105,211,True,0.029669251366446468,0.4073098369410212
ENSG00000111640,4128,3.820188485655455,212,True,3.3083691726165436e-07,6.47193716014048e-06
ENSG00000196262,3841,3.8201481685285024,213,True,0.019472688069241347,0.2721590838700424
ENSG00000185787,3004,3.81826751420036,214,True,1.0202269866776795e-14,3.1337415200161525e-13
ENSG00000005893,685,3.8165204507772423,215,True,6.783577374658567e-06,0.00012178372456230312
ENSG00000142937,3850,3.810193493104455,216,True,3.892444177202303e-07,7.580434768613665e-06
ENSG00000160862,1080,3.8053877889758474,217,True,4.959255079931236e-11,1.2266442401401871e-09
ENSG00000169783,1628,3.7995279692291097,218,True,3.0618064604901225e-30,2.2865889102404672e-28
ENSG00000128564,1839,3.7948366155391495,219,True,1.5177827216277935e-20,6.513059186609135e-19
ENSG00000256193,383,3.791134851423465,220,True,1.8833110102388126e-44,3.2366317667623586e-42
ENSG00000174521,2473,3.788219656064733,221,True,1.1298588979510574e-20,4.878490266351362e-19
ENSG00000133816,1213,3.78816351251479,222,True,1.8119547214026114e-22,8.703726300454842e-21
ENSG00000131507,2643,3.7840061409231733,223,True,2.4954768086390468e-15,7.952930263086912e-14
ENSG00000134201,374,3.781497063087442,224,True,2.3603837228857263e-45,4.245197660444017e-43
ENSG00000069329,1336,3.7779049998458443,225,True,0.00024430677824316963,0.003951758904914657
ENSG00000160781,1030,3.7723289361825025,226,True,0.0002348585104435209,0.003804233963516479
ENSG00000157152,1884,3.769793560161772,227,True,4.827416206568305e-07,9.343752607150032e-06
ENSG00000117984,2794,3.764227021817654,228,True,1.7086491257934262e-26,1.0404780636974518e-24
ENSG00000167123,295,3.754231693704752,229,True,5.372562791536182e-07,1.0355719578242535e-05
ENSG00000169567,3503,3.7496655371083656,230,True,2.4748589480888725e-13,7.059710556470487e-12
ENSG00000164326,458,3.7456902079324927,231,True,4.0455833675395104e-47,8.022326047017484e-45
ENSG00000198944,840,3.7362905282130385,232,True,0.0002857578183430814,0.004595546232388596
ENSG00000104327,448,3.7345078114077515,233,True,8.832593392698006e-28,5.777938040358361e-26
ENSG00000166165,3968,3.733550372709288,234,True,4.247217052842395e-13,1.192007657577074e-11
ENSG00000185518,1444,3.7270742803157595,235,True,2.27469929283598e-19,9.13063894254459e-18
ENSG00000074706,781,3.6993503623375443,236,True,1.2555304760960148e-05,0.0002215728903041405
ENSG00000166509,289,3.690052520317235,237,True,0.07597278239285,1.0
ENSG00000144713,4017,3.6892547082634377,238,True,1.0655170358796673e-36,1.1606086679351141e-34
ENSG00000144119,375,3.686638365922882,239,True,1.1684341828629866e-39,1.478658331080869e-37
ENSG00000171532,1194,3.684976226325361,240,True,1.9252303170887723e-16,6.536648035301432e-15
ENSG00000197535,1567,3.68046089340634,241,True,0.1128579648946047,1.0
ENSG00000173598,1704,3.678262956563234,242,True,7.519411406098196e-11,1.846107785097551e-09
ENSG00000165023,1464,3.678200425862951,243,True,2.7980986214514287e-12,7.42207702296641e-11
ENSG00000197766,428,3.6749438806568318,244,True,1.0659078643016754e-85,1.578512693743374e-82
ENSG00000136854,3044,3.6730329596600213,245,True,5.5627188926313005e-28,3.680422220644231e-26
ENSG00000143499,453,3.668032926342525,246,True,8.526595570072294e-19,3.31179868225414e-17
ENSG00000154917,2221,3.6676075755344746,247,True,2.0198459944693102e-57,7.558429790859546e-55
ENSG00000078804,499,3.6654935701868165,248,True,0.0003088567114031914,0.0049510064707619615
ENSG00000129244,1905,3.6552682483823964,249,True,1.443511148660542e-05,0.0002536539152085905
ENSG00000110092,623,3.6540456906883243,250,True,0.00018495929626289342,0.0030198620317007513
ENSG00000108298,3766,3.653703483737588,251,True,1.1690713818942935e-15,3.7917315471190514e-14
ENSG00000169715,1531,3.651180242396173,252,True,9.48407161025837e-44,1.5605609209397598e-41
ENSG00000107902,772,3.6507342873749224,253,True,3.7302758324158273e-14,1.1090874806350835e-12
ENSG00000174938,2209,3.6489825771761364,254,True,1.0282384143015772e-21,4.723973602131444e-20
ENSG00000127445,2812,3.6447325582115697,255,True,4.020412318874577e-41,5.619109850648202e-39
ENSG00000107295,1531,3.6432925079777356,256,True,4.293600429124059e-35,4.3627198345319e-33
ENSG00000081189,1989,3.63846384023616,257,True,2.3934460319552967e-26,1.4486119687782727e-24
ENSG00000171314,3095,3.635363640723015,258,True,8.401343509913203e-42,1.2259044834683571e-39
ENSG00000104419,659,3.633785125427381,259,True,0.0002857578183430814,0.004595546232388596
ENSG00000178372,508,3.63045309767358,260,True,2.110111326481698e-15,6.755727119825047e-14
ENSG00000176884,2500,3.6231243336562264,261,True,0.1211352716964959,1.0
ENSG00000179178,178,3.622923251757106,262,True,0.000545974171100416,0.008589803903894954
ENSG00000156642,2441,3.621061116992676,263,True,1.2038917571484005e-11,3.09203513492026e-10
ENSG00000137825,1049,3.619971898104303,264,True,2.046824430101217e-33,1.8720705238362551e-31
ENSG00000167552,3309,3.618260585696436,265,True,7.058471015978761e-14,2.0729487251001705e-12
ENSG00000203879,2669,3.616920496656332,266,True,2.951440221881304e-06,5.436049086996569e-05
ENSG00000011426,153,3.606880053103857,267,True,0.028966045254897443,0.39804853082363806
ENSG00000138078,2284,3.5989825420870765,268,True,4.105592019273346e-42,6.132197643700468e-40
ENSG00000074590,1153,3.5989392940766805,269,True,4.415873277119363e-19,1.737460896625306e-17
ENSG00000156976,3086,3.594976646994301,270,True,1.749715317256027e-32,1.4761813538303022e-30
ENSG00000109670,1526,3.5936875934199115,271,True,8.556598800938841e-18,3.1444700666208625e-16
ENSG00000155886,1212,3.5932693301967817,272,True,4.951008883020902e-13,1.3839507283679378e-11
ENSG00000182568,911,3.588230103761579,273,True,1.7724739064470994e-39,2.2309045500031175e-37
ENSG00000158258,605,3.5820182723719536,274,True,1.5740900592780712e-34,1.5452886373833465e-32
ENSG00000152954,1224,3.5817182174121798,275,True,6.150618113571274e-39,7.617434305696776e-37
ENSG00000242173,2619,3.5745211651880235,276,True,0.036657371253910075,0.4994036192173079
ENSG00000070087,2466,3.564514472867563,277,True,0.0037279447693696973,0.05537241375722212
ENSG00000186462,1336,3.551230205277425,278,True,4.2819220502996585e-45,7.602894429201793e-43
ENSG00000196950,1355,3.5505906065775354,279,True,4.860122958300626e-15,1.5203497660328767e-13
ENSG00000151892,255,3.54756310053192,280,True,7.2599618777967824e-12,1.8847935910972675e-10
ENSG00000105290,2868,3.537933161387745,281,True,5.835639937861365e-12,1.5201215092090518e-10
ENSG00000187164,654,3.528502241298329,282,True,0.8767303018672873,1.0
ENSG00000092096,2922,3.527968838166753,283,True,0.9949212351672777,1.0
ENSG00000171603,2963,3.525954402895263,284,True,3.3253250703181596e-19,1.3240943988366554e-17
ENSG00000112531,1466,3.525361612577384,285,True,0.3252801872175416,1.0
ENSG00000108821,901,3.52399999505562,286,True,5.424736861631838e-12,1.4173291728642032e-10
ENSG00000205364,1036,3.5028808364121957,287,True,1.2399578444767215e-37,1.4360141476184726e-35
ENSG00000122254,275,3.498421497213202,288,True,3.921113857379009e-27,2.4833505606964863e-25
ENSG00000097021,1989,3.4976700515053105,289,True,7.148947581699444e-05,0.001200159825775158
ENSG00000106089,1616,3.4952299032699674,290,True,1.4330325938646277e-40,1.936756889330814e-38
ENSG00000164924,3402,3.4931353497783695,291,True,9.6709606231459e-29,6.717816915595135e-27
ENSG00000197457,2645,3.492884631417162,292,True,3.4952596681455886e-11,8.716575160831548e-10
ENSG00000139112,1998,3.492674028967184,293,True,3.0129944435794994e-12,7.976897559211521e-11
ENSG00000105894,1551,3.486360348671285,294,True,1.3969917262622757e-33,1.2981900807312018e-31
ENSG00000162188,3070,3.4832534366231584,295,True,2.7980986214514287e-12,7.42207702296641e-11
ENSG00000018625,1935,3.477042012844958,296,True,2.122771245272718e-14,6.398903095988652e-13
ENSG00000186472,852,3.4733014708571135,297,True,0.76956516253416,1.0
ENSG00000197106,1091,3.4720566671784514,298,True,2.6133537785598167e-05,0.00045236646550972576
ENSG00000160180,1531,3.4709765549147664,299,True,1.3896975104375733e-11,3.5535172563114517e-10
ENSG00000101489,1558,3.4634702118202627,300,True,0.4206794247616753,1.0
ENSG00000264364,1885,3.4549572731805718,301,True,0.9998488588581061,1.0
ENSG00000142676,3475,3.450112024685071,302,True,0.5751969915135857,1.0
ENSG00000241468,2922,3.450026354917156,303,True,0.6079181915950065,1.0
ENSG00000126214,2700,3.446877634428612,304,True,1.0259784747784503e-17,3.7466370468669564e-16
ENSG00000075945,1332,3.445183152073184,305,True,2.5603599388675507e-10,6.092582560663292e-09
ENSG00000115310,3412,3.4370097214921924,306,True,1.4559220133625548e-29,1.0555848528244792e-27
